Order,Family,Species,ZooMS_taxon,COL1a1_508_519,COL1a1_688_704,COL1a1_220_237,COL1a1_934_963,COL1a1_934_963,COL1a1_586_618,COL1a1_586_618,COL1a2_978_990,COL1a2_978_990,COL1a2_484_498,COL1a2_793_816,COL1a2_658_687,COL1a2_889_906,COL1a2_757_789,COL1a2_757_789,COL1a2_10_42
Cingulata,Dasypodidae,Dasypus novemcinctus,D_novemcinctus,1105.6,1459.7,1585.7,2662.2,2647.2,2850.6,2866.6,1189.6,1205.6,1477.7,2131.1,2496.2,1598.7,2940.5,2956.5,2975.3
Cingulata,Chlamyphoridae,Zaedyus pichiy,Z_pichiy,1105.6,1459.7,1585.7,2662.2,2647.3,2850.6,2866.6,1189.6,1205.6,1477.7,2131.1,2496.2,1598.9,2940.5,2956.5,2975.3
Cingulata,Chlamyphoridae,Tolypeutes matacus,T_matacus,1105.6,1459.7,1585.7,2662.2,2647.4,2850.6,2866.6,1189.6,1205.6,1477.7,2129.1,2541.2,1588.7,,2956.5,2975.3
Cingulata,Chlamyphoridae,Priodontes maximus,P_maximus,1105.6,1459.7,1585.7,2662.2,2647.5,2853.4,2869.4,1189.6,1205.6,1477.7,2131.1,2524.2,,2940.5,2956.5,2975.3
Cingulata,Glyptodontidae,Glyptodon,Glyptodon,1105.6,1459.7,1585.7,2662.2,2647.6,,2914.5,1189.6,1205.6,1477.7,2131.1,2542.2,1604.8,2940.5,2956.5,2975.3
Pilosa,Bradypodidae,Bradypus variegatus,B_variegatus,1105.6,1459.7,1585.7,2662.2,2647.7,2868.4,2884.4,1189.6,1205.6,1453.7,2172.2,2554.2,, ,2956.5,2975.3
Pilosa,Cyclopedidae,Cyclopes didactylus,C_didactylus,1105.6,1459.7,1585.7,2662.2,2647.8,2868.4,2884.4,1189.6,1205.6,1453.7,2172.2,2554.2,1574.6,,2956.5,2975.3
Pilosa,Mylodontidae,Mylodon,Mylodon,1105.6,1459.7,1585.7,2662.2,2647.9,2868.4,,1189.6,1205.6,1453.7,2172.2,2554.2,, ,2956.5,2975.3
Pilosa,Myrmecophagidae,Myrmecophaga tridactyla,M_tridactyla,1105.6,1459.7,1585.7,2662.2,2647.10,2883.4,2899.4,,1205.6,1453.7,2147.2,2597.2,1586.7,2940.5,2956.5,
Pilosa,Myrmecophagidae,Tamandua tetradactyla,T_tetradactyla,1105.6,1459.7,1585.7,2662.2,2647.11,2883.4,2899.4,,1205.6,1453.7,2147.2,2597.2,1586.7,,2956.5,
